Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A01001A_001,SE_A01001A_002,SE_A01001A_003,SE_A01001A_004,SE_A01001A_005,SE_A01001A_006,SE_A01001A_007,SE_A01001A_008,SE_A01001A_009,SE_A01001A_010,SE_A01001A_011,SE_A01001A_012,SE_A10003_001,SE_A14010_001,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
17031070200,14000US17031070200,"Census Tract 702, Cook County, Illinois","Census Tract 702, Cook County, Illinois",il,140,0,ACSSF,5976,17,31,70200,4084,242,422,481,525,1025,2778,3354,3721,3865,3948,4023,1.93,148750,468,22,446
17031070300,14000US17031070300,"Census Tract 703, Cook County, Illinois","Census Tract 703, Cook County, Illinois",il,140,0,ACSSF,5977,17,31,70300,3591,227,334,384,447,1046,2783,3086,3271,3462,3538,3547,2.2,185313,447,35,412
17031070400,14000US17031070400,"Census Tract 704, Cook County, Illinois","Census Tract 704, Cook County, Illinois",il,140,0,ACSSF,5978,17,31,70400,3228,187,218,280,323,877,1690,2115,2349,2722,3024,3200,2.03,163472,323,0,323
17031070500,14000US17031070500,"Census Tract 705, Cook County, Illinois","Census Tract 705, Cook County, Illinois",il,140,0,ACSSF,5979,17,31,70500,3229,269,383,479,542,852,1647,2189,2530,2821,2961,3128,2.27,250001,542,0,542
17031070600,14000US17031070600,"Census Tract 706, Cook County, Illinois","Census Tract 706, Cook County, Illinois",il,140,0,ACSSF,5980,17,31,70600,3357,327,528,725,838,1267,2271,2554,3035,3259,3329,3348,2.59,177083,838,9,829
17031070700,14000US17031070700,"Census Tract 707, Cook County, Illinois","Census Tract 707, Cook County, Illinois",il,140,0,ACSSF,5981,17,31,70700,4440,569,787,972,1030,1378,2880,3611,3977,4267,4412,4421,2.52,190375,1030,206,824
17031071000,14000US17031071000,"Census Tract 710, Cook County, Illinois","Census Tract 710, Cook County, Illinois",il,140,0,ACSSF,5982,17,31,71000,4437,153,296,336,383,2606,3698,3946,4073,4293,4396,4421,2.34,196563,364,7,357
17031071100,14000US17031071100,"Census Tract 711, Cook County, Illinois","Census Tract 711, Cook County, Illinois",il,140,0,ACSSF,5983,17,31,71100,3200,196,311,362,407,1455,2328,2578,2885,3018,3107,3200,2.58,200911,398,0,398
17031071200,14000US17031071200,"Census Tract 712, Cook County, Illinois","Census Tract 712, Cook County, Illinois",il,140,0,ACSSF,5984,17,31,71200,1931,93,182,275,307,566,1109,1334,1511,1718,1862,1923,2.06,123173,307,0,307
17031071300,14000US17031071300,"Census Tract 713, Cook County, Illinois","Census Tract 713, Cook County, Illinois",il,140,0,ACSSF,5985,17,31,71300,3747,100,268,565,678,1163,2110,2519,2925,3355,3611,3745,2.08,200033,656,16,640
17031071400,14000US17031071400,"Census Tract 714, Cook County, Illinois","Census Tract 714, Cook County, Illinois",il,140,0,ACSSF,5986,17,31,71400,4749,189,243,280,321,835,2389,2991,3645,4092,4388,4749,1.57,130625,321,75,246
17031071500,14000US17031071500,"Census Tract 715, Cook County, Illinois","Census Tract 715, Cook County, Illinois",il,140,0,ACSSF,5987,17,31,71500,5915,191,340,457,510,838,3570,4298,4978,5411,5794,5870,1.55,157102,510,0,510
17031071600,14000US17031071600,"Census Tract 716, Cook County, Illinois","Census Tract 716, Cook County, Illinois",il,140,0,ACSSF,5988,17,31,71600,1709,125,263,395,418,497,861,1071,1265,1430,1613,1699,2.38,171500,418,42,376
17031071700,14000US17031071700,"Census Tract 717, Cook County, Illinois","Census Tract 717, Cook County, Illinois",il,140,0,ACSSF,5989,17,31,71700,1776,65,179,247,274,446,902,1155,1366,1558,1675,1765,2.41,189333,274,0,274
17031071800,14000US17031071800,"Census Tract 718, Cook County, Illinois","Census Tract 718, Cook County, Illinois",il,140,0,ACSSF,5990,17,31,71800,2773,230,377,540,621,752,1493,1824,2125,2545,2726,2764,2.57,202500,621,0,621
17031080100,14000US17031080100,"Census Tract 801, Cook County, Illinois","Census Tract 801, Cook County, Illinois",il,140,0,ACSSF,5991,17,31,80100,6666,163,217,309,470,746,3071,3542,4062,5007,5983,6609,1.63,250001,470,0,470
17031080201,14000US17031080201,"Census Tract 802.01, Cook County, Illinois","Census Tract 802.01, Cook County, Illinois",il,140,0,ACSSF,5992,17,31,80201,3230,17,32,32,47,231,1354,1732,2088,2423,3081,3181,1.41,195982,47,0,47
17031080202,14000US17031080202,"Census Tract 802.02, Cook County, Illinois","Census Tract 802.02, Cook County, Illinois",il,140,0,ACSSF,5993,17,31,80202,3506,227,301,354,369,616,1740,2229,2574,2944,3330,3488,1.57,215764,369,0,369
17031080300,14000US17031080300,"Census Tract 803, Cook County, Illinois","Census Tract 803, Cook County, Illinois",il,140,0,ACSSF,5994,17,31,80300,4579,357,509,532,532,663,2805,3604,4043,4272,4465,4565,1.69,189728,532,46,486
17031080400,14000US17031080400,"Census Tract 804, Cook County, Illinois","Census Tract 804, Cook County, Illinois",il,140,0,ACSSF,5995,17,31,80400,4229,613,853,1026,1167,1623,2735,3268,3540,3891,4159,4229,2.18,35825,1112,302,810
17031081000,14000US17031081000,"Census Tract 810, Cook County, Illinois","Census Tract 810, Cook County, Illinois",il,140,0,ACSSF,5996,17,31,81000,7698,80,185,221,264,1934,4534,4953,5528,6251,6963,7627,1.35,125237,257,29,228
17031081100,14000US17031081100,"Census Tract 811, Cook County, Illinois","Census Tract 811, Cook County, Illinois",il,140,0,ACSSF,5997,17,31,81100,4077,175,191,207,207,571,2136,2946,3315,3653,3963,4076,1.49,105469,207,0,207
17031081201,14000US17031081201,"Census Tract 812.01, Cook County, Illinois","Census Tract 812.01, Cook County, Illinois",il,140,0,ACSSF,5998,17,31,81201,4656,156,224,224,224,1009,2008,2508,2821,3503,4127,4470,1.46,250001,224,0,224
17031081202,14000US17031081202,"Census Tract 812.02, Cook County, Illinois","Census Tract 812.02, Cook County, Illinois",il,140,0,ACSSF,5999,17,31,81202,3021,145,174,207,239,298,772,1125,1407,1957,2537,2784,1.7,169306,239,0,239
17031081300,14000US17031081300,"Census Tract 813, Cook County, Illinois","Census Tract 813, Cook County, Illinois",il,140,0,ACSSF,6000,17,31,81300,5276,109,109,202,240,547,1343,1910,2347,3263,4386,5072,1.6,150333,240,0,240
